batch_id,supplier_id,lot_id,production_date,line_id,lot_is_defective,production_week
B-001,S003,LOT-S003-202602-01,2026-02-21,L4,False,2026-02-16/2026-02-22
B-002,S001,LOT-S001-202602-02,2026-02-20,L3,False,2026-02-16/2026-02-22
B-003,S007,LOT-S007-202602-02,2026-02-19,L2,True,2026-02-16/2026-02-22
B-004,S001,LOT-S001-202602-04,2026-02-26,L2,False,2026-02-23/2026-03-01
B-005,S003,LOT-S003-202602-01,2026-02-08,L1,False,2026-02-02/2026-02-08
B-006,S004,LOT-S004-202602-03,2026-02-02,L4,False,2026-02-02/2026-02-08
B-007,S001,LOT-S001-202602-03,2026-02-02,L2,False,2026-02-02/2026-02-08
B-008,S005,LOT-S005-202601-05,2026-01-13,L3,False,2026-01-12/2026-01-18
B-009,S006,LOT-S006-202603-03,2026-03-14,L1,False,2026-03-09/2026-03-15
B-010,S005,LOT-S005-202603-05,2026-03-20,L1,False,2026-03-16/2026-03-22
B-011,S006,LOT-S006-202602-05,2026-02-18,L4,False,2026-02-16/2026-02-22
B-012,S004,LOT-S004-202602-04,2026-02-23,L3,False,2026-02-23/2026-03-01
B-013,S004,LOT-S004-202603-01,2026-03-12,L3,False,2026-03-09/2026-03-15
B-014,S006,LOT-S006-202603-03,2026-03-25,L1,False,2026-03-23/2026-03-29
B-015,S006,LOT-S006-202602-03,2026-02-26,L4,False,2026-02-23/2026-03-01
B-016,S007,LOT-S007-202601-02,2026-01-29,L4,False,2026-01-26/2026-02-01
B-017,S001,LOT-S001-202602-02,2026-02-25,L3,False,2026-02-23/2026-03-01
B-018,S006,LOT-S006-202603-04,2026-03-20,L4,False,2026-03-16/2026-03-22
B-019,S008,LOT-S008-202603-01,2026-03-11,L2,False,2026-03-09/2026-03-15
B-020,S006,LOT-S006-202603-03,2026-03-11,L1,False,2026-03-09/2026-03-15
B-021,S003,LOT-S003-202601-02,2026-01-30,L1,False,2026-01-26/2026-02-01
B-022,S002,LOT-S002-202603-05,2026-03-24,L4,False,2026-03-23/2026-03-29
B-023,S008,LOT-S008-202602-02,2026-02-23,L4,False,2026-02-23/2026-03-01
B-024,S007,LOT-S007-202601-05,2026-01-18,L2,False,2026-01-12/2026-01-18
B-025,S004,LOT-S004-202601-02,2026-01-11,L1,False,2026-01-05/2026-01-11
B-026,S006,LOT-S006-202603-05,2026-03-13,L4,False,2026-03-09/2026-03-15
B-027,S008,LOT-S008-202603-04,2026-03-16,L2,False,2026-03-16/2026-03-22
B-028,S005,LOT-S005-202602-02,2026-02-05,L4,False,2026-02-02/2026-02-08
B-029,S002,LOT-S002-202603-03,2026-03-02,L3,False,2026-03-02/2026-03-08
B-030,S002,LOT-S002-202602-02,2026-02-14,L2,False,2026-02-09/2026-02-15
B-031,S004,LOT-S004-202601-04,2026-01-24,L1,False,2026-01-19/2026-01-25
B-032,S008,LOT-S008-202603-02,2026-03-15,L4,False,2026-03-09/2026-03-15
B-033,S001,LOT-S001-202602-01,2026-02-23,L4,False,2026-02-23/2026-03-01
B-034,S007,LOT-S007-202602-05,2026-02-12,L4,False,2026-02-09/2026-02-15
B-035,S004,LOT-S004-202603-04,2026-03-08,L3,False,2026-03-02/2026-03-08
B-036,S006,LOT-S006-202602-02,2026-02-23,L4,False,2026-02-23/2026-03-01
B-037,S001,LOT-S001-202601-05,2026-01-21,L4,False,2026-01-19/2026-01-25
B-038,S007,LOT-S007-202601-02,2026-01-15,L2,False,2026-01-12/2026-01-18
B-039,S007,LOT-S007-202602-04,2026-02-07,L3,False,2026-02-02/2026-02-08
B-040,S007,LOT-S007-202602-03,2026-02-17,L3,False,2026-02-16/2026-02-22
B-041,S001,LOT-S001-202603-02,2026-03-06,L1,False,2026-03-02/2026-03-08
B-042,S001,LOT-S001-202601-01,2026-01-10,L2,False,2026-01-05/2026-01-11
B-043,S003,LOT-S003-202602-01,2026-02-04,L4,False,2026-02-02/2026-02-08
B-044,S005,LOT-S005-202603-05,2026-03-05,L3,False,2026-03-02/2026-03-08
B-045,S005,LOT-S005-202601-01,2026-01-25,L1,False,2026-01-19/2026-01-25
B-046,S007,LOT-S007-202603-02,2026-03-19,L4,False,2026-03-16/2026-03-22
B-047,S004,LOT-S004-202603-03,2026-03-21,L1,False,2026-03-16/2026-03-22
B-048,S001,LOT-S001-202603-04,2026-03-18,L3,False,2026-03-16/2026-03-22
B-049,S006,LOT-S006-202601-04,2026-01-13,L1,False,2026-01-12/2026-01-18
B-050,S006,LOT-S006-202603-02,2026-03-01,L4,False,2026-02-23/2026-03-01
B-051,S005,LOT-S005-202601-04,2026-01-27,L4,False,2026-01-26/2026-02-01
B-052,S004,LOT-S004-202602-04,2026-02-15,L1,False,2026-02-09/2026-02-15
B-053,S007,LOT-S007-202603-04,2026-03-05,L3,False,2026-03-02/2026-03-08
B-054,S008,LOT-S008-202601-03,2026-01-28,L2,True,2026-01-26/2026-02-01
B-055,S005,LOT-S005-202602-02,2026-02-09,L1,False,2026-02-09/2026-02-15
B-056,S007,LOT-S007-202602-02,2026-02-04,L4,True,2026-02-02/2026-02-08
B-057,S008,LOT-S008-202603-01,2026-03-28,L4,False,2026-03-23/2026-03-29
B-058,S007,LOT-S007-202602-05,2026-02-02,L2,False,2026-02-02/2026-02-08
B-059,S006,LOT-S006-202603-03,2026-03-06,L4,False,2026-03-02/2026-03-08
B-060,S005,LOT-S005-202603-02,2026-03-04,L3,False,2026-03-02/2026-03-08
B-061,S006,LOT-S006-202601-02,2026-01-29,L1,False,2026-01-26/2026-02-01
B-062,S008,LOT-S008-202602-05,2026-02-01,L3,False,2026-01-26/2026-02-01
B-063,S004,LOT-S004-202601-03,2026-01-17,L3,False,2026-01-12/2026-01-18
B-064,S001,LOT-S001-202602-01,2026-02-12,L2,False,2026-02-09/2026-02-15
B-065,S005,LOT-S005-202603-04,2026-03-16,L2,False,2026-03-16/2026-03-22
B-066,S005,LOT-S005-202601-04,2026-01-06,L4,False,2026-01-05/2026-01-11
B-067,S001,LOT-S001-202601-01,2026-01-28,L3,False,2026-01-26/2026-02-01
B-068,S008,LOT-S008-202602-01,2026-02-25,L1,False,2026-02-23/2026-03-01
B-069,S005,LOT-S005-202601-01,2026-01-24,L1,False,2026-01-19/2026-01-25
B-070,S004,LOT-S004-202603-04,2026-03-23,L4,False,2026-03-23/2026-03-29
B-071,S007,LOT-S007-202603-05,2026-03-21,L3,False,2026-03-16/2026-03-22
B-072,S002,LOT-S002-202603-02,2026-03-24,L2,False,2026-03-23/2026-03-29
B-073,S003,LOT-S003-202601-05,2026-01-15,L2,False,2026-01-12/2026-01-18
B-074,S001,LOT-S001-202601-05,2026-01-25,L4,False,2026-01-19/2026-01-25
B-075,S001,LOT-S001-202602-03,2026-02-11,L2,False,2026-02-09/2026-02-15
B-076,S004,LOT-S004-202601-05,2026-01-14,L3,False,2026-01-12/2026-01-18
B-077,S002,LOT-S002-202602-02,2026-02-28,L2,False,2026-02-23/2026-03-01
B-078,S002,LOT-S002-202601-03,2026-01-23,L1,False,2026-01-19/2026-01-25
B-079,S002,LOT-S002-202603-03,2026-03-02,L4,False,2026-03-02/2026-03-08
B-080,S008,LOT-S008-202602-05,2026-02-08,L4,False,2026-02-02/2026-02-08
B-081,S006,LOT-S006-202603-01,2026-03-01,L3,False,2026-02-23/2026-03-01
B-082,S001,LOT-S001-202603-01,2026-03-19,L3,False,2026-03-16/2026-03-22
B-083,S008,LOT-S008-202603-05,2026-03-06,L3,False,2026-03-02/2026-03-08
B-084,S008,LOT-S008-202603-03,2026-03-27,L1,False,2026-03-23/2026-03-29
B-085,S006,LOT-S006-202602-03,2026-02-16,L1,False,2026-02-16/2026-02-22
B-086,S005,LOT-S005-202603-01,2026-03-09,L4,False,2026-03-09/2026-03-15
B-087,S006,LOT-S006-202601-01,2026-01-16,L3,False,2026-01-12/2026-01-18
B-088,S001,LOT-S001-202603-01,2026-03-11,L4,False,2026-03-09/2026-03-15
B-089,S006,LOT-S006-202603-04,2026-03-12,L4,False,2026-03-09/2026-03-15
B-090,S005,LOT-S005-202601-04,2026-01-31,L2,False,2026-01-26/2026-02-01
B-091,S001,LOT-S001-202601-02,2026-01-20,L2,False,2026-01-19/2026-01-25
