batch_id,supplier_id,production_date,line_id,unit_count,material_lot,material_type,sku,is_defective
B-001,S003,2026-02-21,L4,761,LOT-S003-202602-01,jersey_fabric,WC-HOME-W,False
B-002,S001,2026-02-20,L3,930,LOT-S001-202602-02,jersey_fabric,WC-HOME-M,False
B-003,S007,2026-02-19,L2,984,LOT-S007-202602-02,bonded_seam_tape,WC-AWAY-M,True
B-004,S001,2026-02-26,L2,1180,LOT-S001-202602-04,jersey_fabric,WC-AWAY-M,False
B-005,S003,2026-02-08,L1,1283,LOT-S003-202602-01,jersey_fabric,WC-AWAY-W,False
B-006,S004,2026-02-02,L4,1216,LOT-S004-202602-03,heat_transfer_film,WC-AWAY-M,False
B-007,S001,2026-02-02,L2,1316,LOT-S001-202602-03,jersey_fabric,WC-HOME-W,False
B-008,S005,2026-01-13,L3,1813,LOT-S005-202601-05,jersey_fabric,WC-AWAY-W,False
B-009,S006,2026-03-14,L1,736,LOT-S006-202603-03,bonded_seam_tape,WC-AWAY-M,False
B-010,S005,2026-03-20,L1,722,LOT-S005-202603-05,jersey_fabric,WC-AWAY-W,False
B-011,S006,2026-02-18,L4,1741,LOT-S006-202602-05,bonded_seam_tape,WC-HOME-M,False
B-012,S004,2026-02-23,L3,590,LOT-S004-202602-04,heat_transfer_film,WC-HOME-M,False
B-013,S004,2026-03-12,L3,1383,LOT-S004-202603-01,heat_transfer_film,WC-HOME-W,False
B-014,S006,2026-03-25,L1,1974,LOT-S006-202603-03,bonded_seam_tape,WC-HOME-W,False
B-015,S006,2026-02-26,L4,1927,LOT-S006-202602-03,bonded_seam_tape,WC-AWAY-M,False
B-016,S007,2026-01-29,L4,1887,LOT-S007-202601-02,bonded_seam_tape,WC-HOME-W,False
B-017,S001,2026-02-25,L3,1087,LOT-S001-202602-02,jersey_fabric,WC-AWAY-W,False
B-018,S006,2026-03-20,L4,1404,LOT-S006-202603-04,bonded_seam_tape,WC-AWAY-M,False
B-019,S008,2026-03-11,L2,1849,LOT-S008-202603-01,heat_transfer_film,WC-HOME-W,False
B-020,S006,2026-03-11,L1,981,LOT-S006-202603-03,bonded_seam_tape,WC-AWAY-M,False
B-021,S003,2026-01-30,L1,594,LOT-S003-202601-02,jersey_fabric,WC-AWAY-W,False
B-022,S002,2026-03-24,L4,1348,LOT-S002-202603-05,bonded_seam_tape,WC-AWAY-M,False
B-023,S008,2026-02-23,L4,999,LOT-S008-202602-02,heat_transfer_film,WC-HOME-M,False
B-024,S007,2026-01-18,L2,860,LOT-S007-202601-05,bonded_seam_tape,WC-AWAY-W,True
B-025,S004,2026-01-11,L1,1434,LOT-S004-202601-02,heat_transfer_film,WC-AWAY-W,False
B-026,S006,2026-03-13,L4,1754,LOT-S006-202603-05,bonded_seam_tape,WC-AWAY-W,False
B-027,S008,2026-03-16,L2,1472,LOT-S008-202603-04,heat_transfer_film,WC-HOME-W,False
B-028,S005,2026-02-05,L4,1783,LOT-S005-202602-02,jersey_fabric,WC-HOME-W,False
B-029,S002,2026-03-02,L3,980,LOT-S002-202603-03,bonded_seam_tape,WC-HOME-W,False
B-030,S002,2026-02-14,L2,808,LOT-S002-202602-02,bonded_seam_tape,WC-AWAY-W,False
B-031,S004,2026-01-24,L1,1349,LOT-S004-202601-04,heat_transfer_film,WC-HOME-W,False
B-032,S008,2026-03-15,L4,627,LOT-S008-202603-02,heat_transfer_film,WC-AWAY-W,False
B-033,S001,2026-02-23,L4,1476,LOT-S001-202602-01,jersey_fabric,WC-HOME-W,False
B-034,S007,2026-02-12,L4,1602,LOT-S007-202602-05,bonded_seam_tape,WC-AWAY-M,False
B-035,S004,2026-03-08,L3,1392,LOT-S004-202603-04,heat_transfer_film,WC-HOME-M,False
B-036,S006,2026-02-23,L4,1983,LOT-S006-202602-02,bonded_seam_tape,WC-AWAY-W,False
B-037,S001,2026-01-21,L4,1712,LOT-S001-202601-05,jersey_fabric,WC-HOME-M,False
B-038,S007,2026-01-15,L2,1445,LOT-S007-202601-02,bonded_seam_tape,WC-HOME-M,True
B-039,S007,2026-02-07,L3,933,LOT-S007-202602-04,bonded_seam_tape,WC-HOME-W,True
B-040,S007,2026-02-17,L3,1363,LOT-S007-202602-03,bonded_seam_tape,WC-HOME-M,True
B-041,S001,2026-03-06,L1,1216,LOT-S001-202603-02,jersey_fabric,WC-HOME-M,False
B-042,S001,2026-01-10,L2,908,LOT-S001-202601-01,jersey_fabric,WC-AWAY-M,False
B-043,S003,2026-02-04,L4,1871,LOT-S003-202602-01,jersey_fabric,WC-AWAY-M,False
B-044,S005,2026-03-05,L3,843,LOT-S005-202603-05,jersey_fabric,WC-HOME-M,False
B-045,S005,2026-01-25,L1,1685,LOT-S005-202601-01,jersey_fabric,WC-HOME-W,False
B-046,S007,2026-03-19,L4,1964,LOT-S007-202603-02,bonded_seam_tape,WC-HOME-M,False
B-047,S004,2026-03-21,L1,1927,LOT-S004-202603-03,heat_transfer_film,WC-HOME-M,False
B-048,S001,2026-03-18,L3,1591,LOT-S001-202603-04,jersey_fabric,WC-HOME-W,False
B-049,S006,2026-01-13,L1,1360,LOT-S006-202601-04,bonded_seam_tape,WC-HOME-M,False
