transaction_id,date,sku,channel,units_sold,units_returned,return_rate,return_reason,revenue_usd,refund_usd
TXN-000001,2026-02-01,WC-HOME-M,nike.com,424,8,0.0189,changed_mind,37318.38,865.55
TXN-000002,2026-02-01,WC-HOME-M,retail_partner,406,21,0.0517,changed_mind,42131.69,2272.48
TXN-000003,2026-02-01,WC-HOME-M,own_store,531,11,0.0207,wrong_size,53580.77,1189.97
TXN-000004,2026-02-01,WC-HOME-M,wholesale,313,16,0.0511,changed_mind,34158.41,1539.5
TXN-000005,2026-02-01,WC-AWAY-M,nike.com,605,26,0.043,changed_mind,57256.49,2366.05
TXN-000006,2026-02-01,WC-AWAY-M,retail_partner,361,17,0.0471,changed_mind,38056.81,1855.29
TXN-000007,2026-02-01,WC-AWAY-M,own_store,524,14,0.0267,gift_duplicate,54107.36,1518.08
TXN-000008,2026-02-01,WC-AWAY-M,wholesale,565,16,0.0283,gift_duplicate,59843.67,1541.19
TXN-000009,2026-02-01,WC-HOME-W,nike.com,501,12,0.024,gift_duplicate,44107.82,1241.33
TXN-000010,2026-02-01,WC-HOME-W,retail_partner,786,28,0.0356,gift_duplicate,69727.96,2835.07
TXN-000011,2026-02-01,WC-HOME-W,own_store,426,19,0.0446,wrong_size,46266.64,1730.79
TXN-000012,2026-02-01,WC-HOME-W,wholesale,279,8,0.0287,changed_mind,25582.49,859.82
TXN-000013,2026-02-01,WC-AWAY-W,nike.com,290,15,0.0517,gift_duplicate,29597.48,1612.6
TXN-000014,2026-02-01,WC-AWAY-W,retail_partner,657,13,0.0198,wrong_size,61422.86,1163.39
TXN-000015,2026-02-01,WC-AWAY-W,own_store,462,23,0.0498,gift_duplicate,40669.02,2219.28
TXN-000016,2026-02-01,WC-AWAY-W,wholesale,629,36,0.0572,changed_mind,62175.27,3467.94
TXN-000017,2026-02-02,WC-HOME-M,nike.com,759,26,0.0343,changed_mind,79962.21,2618.65
TXN-000018,2026-02-02,WC-HOME-M,retail_partner,430,11,0.0256,wrong_size,45400.38,976.09
TXN-000019,2026-02-02,WC-HOME-M,own_store,220,7,0.0318,wrong_size,19719.13,642.2
TXN-000020,2026-02-02,WC-HOME-M,wholesale,584,15,0.0257,wrong_size,58420.45,1616.38
TXN-000021,2026-02-02,WC-AWAY-M,nike.com,295,9,0.0305,gift_duplicate,31757.04,931.49
TXN-000022,2026-02-02,WC-AWAY-M,retail_partner,641,36,0.0562,wrong_size,64972.39,3511.89
TXN-000023,2026-02-02,WC-AWAY-M,own_store,254,6,0.0236,wrong_size,27796.94,582.02
TXN-000024,2026-02-02,WC-AWAY-M,wholesale,767,37,0.0482,gift_duplicate,76610.08,3793.73
TXN-000025,2026-02-02,WC-HOME-W,nike.com,504,14,0.0278,wrong_size,48708.5,1401.3
TXN-000026,2026-02-02,WC-HOME-W,retail_partner,702,18,0.0256,changed_mind,61834.93,1618.7
TXN-000027,2026-02-02,WC-HOME-W,own_store,691,19,0.0275,wrong_size,63954.1,1938.76
TXN-000028,2026-02-02,WC-HOME-W,wholesale,283,11,0.0389,wrong_size,26823.81,1064.19
TXN-000029,2026-02-02,WC-AWAY-W,nike.com,700,39,0.0557,changed_mind,63003.51,3898.86
TXN-000030,2026-02-02,WC-AWAY-W,retail_partner,389,13,0.0334,changed_mind,37393.34,1271.49
TXN-000031,2026-02-02,WC-AWAY-W,own_store,469,17,0.0362,changed_mind,43606.37,1596.44
TXN-000032,2026-02-02,WC-AWAY-W,wholesale,263,6,0.0228,gift_duplicate,27005.97,539.31
TXN-000033,2026-02-03,WC-HOME-M,nike.com,552,28,0.0507,changed_mind,60364.25,2827.27
TXN-000034,2026-02-03,WC-HOME-M,retail_partner,766,17,0.0222,changed_mind,81199.76,1652.57
TXN-000035,2026-02-03,WC-HOME-M,own_store,748,35,0.0468,changed_mind,75248.59,3261.44
TXN-000036,2026-02-03,WC-HOME-M,wholesale,506,11,0.0217,gift_duplicate,44914.6,1106.24
TXN-000037,2026-02-03,WC-AWAY-M,nike.com,729,37,0.0508,gift_duplicate,79913.42,3376.02
TXN-000038,2026-02-03,WC-AWAY-M,retail_partner,659,17,0.0258,wrong_size,72086.45,1798.36
TXN-000039,2026-02-03,WC-AWAY-M,own_store,329,7,0.0213,wrong_size,36105.17,683.05
TXN-000040,2026-02-03,WC-AWAY-M,wholesale,351,18,0.0513,changed_mind,33357.11,1871.93
TXN-000041,2026-02-03,WC-HOME-W,nike.com,268,6,0.0224,gift_duplicate,25926.81,571.05
TXN-000042,2026-02-03,WC-HOME-W,retail_partner,482,19,0.0394,wrong_size,50756.58,1932.44
TXN-000043,2026-02-03,WC-HOME-W,own_store,735,37,0.0503,wrong_size,71381.53,3376.63
TXN-000044,2026-02-03,WC-HOME-W,wholesale,796,40,0.0503,wrong_size,86245.34,4015.16
TXN-000045,2026-02-03,WC-AWAY-W,nike.com,303,15,0.0495,gift_duplicate,32530.99,1609.7
TXN-000046,2026-02-03,WC-AWAY-W,retail_partner,470,16,0.034,changed_mind,47274.72,1574.51
TXN-000047,2026-02-03,WC-AWAY-W,own_store,376,11,0.0293,wrong_size,38202.12,1132.76
TXN-000048,2026-02-03,WC-AWAY-W,wholesale,611,13,0.0213,changed_mind,63049.89,1158.1
TXN-000049,2026-02-04,WC-HOME-M,nike.com,686,38,0.0554,changed_mind,60673.35,4027.33
TXN-000050,2026-02-04,WC-HOME-M,retail_partner,510,16,0.0314,changed_mind,54509.39,1649.07
TXN-000051,2026-02-04,WC-HOME-M,own_store,433,10,0.0231,gift_duplicate,42325.07,1061.68
TXN-000052,2026-02-04,WC-HOME-M,wholesale,475,23,0.0484,gift_duplicate,48546.05,2119.1
TXN-000053,2026-02-04,WC-AWAY-M,nike.com,416,23,0.0553,changed_mind,43389.13,2408.3
TXN-000054,2026-02-04,WC-AWAY-M,retail_partner,582,30,0.0515,gift_duplicate,61350.24,2683.31
TXN-000055,2026-02-04,WC-AWAY-M,own_store,718,25,0.0348,gift_duplicate,77073.94,2215.92
TXN-000056,2026-02-04,WC-AWAY-M,wholesale,397,21,0.0529,wrong_size,42246.15,1963.26
TXN-000057,2026-02-04,WC-HOME-W,nike.com,667,14,0.021,changed_mind,69035.8,1316.39
TXN-000058,2026-02-04,WC-HOME-W,retail_partner,675,27,0.04,gift_duplicate,73107.64,2780.62
TXN-000059,2026-02-04,WC-HOME-W,own_store,447,15,0.0336,gift_duplicate,43722.98,1636.97
TXN-000060,2026-02-04,WC-HOME-W,wholesale,685,29,0.0423,changed_mind,65467.83,3086.42
TXN-000061,2026-02-04,WC-AWAY-W,nike.com,464,23,0.0496,gift_duplicate,41754.72,2037.89
TXN-000062,2026-02-04,WC-AWAY-W,retail_partner,250,6,0.024,gift_duplicate,26289.07,556.29
TXN-000063,2026-02-04,WC-AWAY-W,own_store,426,19,0.0446,gift_duplicate,39425.48,1944.36
TXN-000064,2026-02-04,WC-AWAY-W,wholesale,725,15,0.0207,gift_duplicate,63941.92,1620.8
TXN-000065,2026-02-05,WC-HOME-M,nike.com,377,16,0.0424,wrong_size,35031.95,1622.14
TXN-000066,2026-02-05,WC-HOME-M,retail_partner,512,24,0.0469,gift_duplicate,52295.83,2335.77
TXN-000067,2026-02-05,WC-HOME-M,own_store,585,31,0.053,changed_mind,54723.22,3046.29
TXN-000068,2026-02-05,WC-HOME-M,wholesale,733,38,0.0518,changed_mind,73929.44,3350.14
TXN-000069,2026-02-05,WC-AWAY-M,nike.com,583,24,0.0412,gift_duplicate,59115.68,2269.6
TXN-000070,2026-02-05,WC-AWAY-M,retail_partner,310,12,0.0387,changed_mind,34020.62,1225.12
TXN-000071,2026-02-05,WC-AWAY-M,own_store,483,14,0.029,gift_duplicate,52621.95,1432.65
TXN-000072,2026-02-05,WC-AWAY-M,wholesale,392,10,0.0255,wrong_size,42254.9,1057.19
TXN-000073,2026-02-05,WC-HOME-W,nike.com,613,28,0.0457,gift_duplicate,55831.09,2479.68
TXN-000074,2026-02-05,WC-HOME-W,retail_partner,709,42,0.0592,changed_mind,76538.01,4069.85
TXN-000075,2026-02-05,WC-HOME-W,own_store,236,10,0.0424,gift_duplicate,25004.75,955.5
TXN-000076,2026-02-05,WC-HOME-W,wholesale,427,20,0.0468,gift_duplicate,44949.32,2158.87
TXN-000077,2026-02-05,WC-AWAY-W,nike.com,567,22,0.0388,wrong_size,60382.13,2360.22
TXN-000078,2026-02-05,WC-AWAY-W,retail_partner,385,12,0.0312,changed_mind,34963.69,1124.28
TXN-000079,2026-02-05,WC-AWAY-W,own_store,772,38,0.0492,wrong_size,84018.55,4096.06
TXN-000080,2026-02-05,WC-AWAY-W,wholesale,291,8,0.0275,wrong_size,30372.43,758.05
TXN-000081,2026-02-06,WC-HOME-M,nike.com,539,18,0.0334,gift_duplicate,50918.86,1921.08
TXN-000082,2026-02-06,WC-HOME-M,retail_partner,681,15,0.022,gift_duplicate,68671.11,1631.62
TXN-000083,2026-02-06,WC-HOME-M,own_store,272,10,0.0368,wrong_size,26930.86,1070.85
TXN-000084,2026-02-06,WC-HOME-M,wholesale,590,24,0.0407,changed_mind,52621.72,2563.04
TXN-000085,2026-02-06,WC-AWAY-M,nike.com,340,20,0.0588,changed_mind,32980.76,2010.54
TXN-000086,2026-02-06,WC-AWAY-M,retail_partner,668,17,0.0254,gift_duplicate,61434.52,1526.22
