supplier_id,line_id,month,units_inspected,defect_rate,defects_found
S001,L1,2025-01,1054,0.03357,35
S001,L2,2025-01,514,0.04336,22
S001,L3,2025-01,425,0.03964,16
S001,L4,2025-01,1159,0.03738,43
S001,L1,2025-02,681,0.02985,20
S001,L2,2025-02,650,0.02985,19
S001,L3,2025-02,628,0.02819,17
S001,L4,2025-02,542,0.04192,22
S001,L1,2025-03,1154,0.03742,43
S001,L2,2025-03,504,0.03924,19
S001,L3,2025-03,1092,0.02755,30
S001,L4,2025-03,1158,0.04369,50
S001,L1,2025-04,958,0.04135,39
S001,L2,2025-04,489,0.03081,15
S001,L3,2025-04,1004,0.03029,30
S001,L4,2025-04,832,0.03032,25
S001,L1,2025-05,432,0.03237,13
S001,L2,2025-05,430,0.03612,15
S001,L3,2025-05,495,0.03454,17
S001,L4,2025-05,623,0.03215,20
S001,L1,2025-06,638,0.0376,23
S001,L2,2025-06,917,0.02957,27
S001,L3,2025-06,1016,0.03217,32
S001,L4,2025-06,427,0.03343,14
S001,L1,2025-07,974,0.03495,34
S001,L2,2025-07,603,0.04055,24
S001,L3,2025-07,1133,0.03059,34
S001,L4,2025-07,1065,0.03594,38
S001,L1,2025-08,1118,0.03727,41
S001,L2,2025-08,958,0.02799,26
S001,L3,2025-08,829,0.03753,31
S001,L4,2025-08,625,0.0301,18
S001,L1,2025-09,859,0.02831,24
S001,L2,2025-09,1003,0.04333,43
S001,L3,2025-09,684,0.04362,29
S001,L4,2025-09,406,0.04094,16
S001,L1,2025-10,1177,0.03238,38
S001,L2,2025-10,563,0.02886,16
S001,L3,2025-10,1114,0.03883,43
S001,L4,2025-10,832,0.03468,28
S001,L1,2025-11,748,0.02927,21
S001,L2,2025-11,684,0.03562,24
S001,L3,2025-11,559,0.02778,15
S001,L4,2025-11,620,0.04266,26
S001,L1,2025-12,1181,0.0316,37
S001,L2,2025-12,744,0.03846,28
S001,L3,2025-12,504,0.0325,16
S001,L4,2025-12,494,0.03604,17
S001,L1,2026-01,789,0.03649,28
S001,L2,2026-01,499,0.03034,15
S001,L3,2026-01,767,0.04368,33
S001,L4,2026-01,752,0.04038,30
S001,L1,2026-02,1018,0.04317,43
S001,L2,2026-02,670,0.04241,28
S001,L3,2026-02,444,0.03736,16
S001,L4,2026-02,1147,0.04287,49
S001,L1,2026-03,870,0.0287,24
S001,L2,2026-03,949,0.03053,28
S001,L3,2026-03,527,0.02797,14
S001,L4,2026-03,787,0.03273,25
S002,L1,2025-01,480,0.03977,19
S002,L2,2025-01,965,0.03743,36
S002,L3,2025-01,700,0.04857,33
S002,L4,2025-01,1043,0.03914,40
S002,L1,2025-02,1033,0.03762,38
S002,L2,2025-02,770,0.04285,32
S002,L3,2025-02,991,0.03482,34
S002,L4,2025-02,596,0.04804,28
S002,L1,2025-03,1121,0.03349,37
S002,L2,2025-03,471,0.05174,24
S002,L3,2025-03,446,0.04744,21
S002,L4,2025-03,1077,0.03597,38
S002,L1,2025-04,633,0.03211,20
S002,L2,2025-04,1191,0.04831,57
S002,L3,2025-04,696,0.04614,32
S002,L4,2025-04,481,0.04658,22
S002,L1,2025-05,638,0.04743,30
S002,L2,2025-05,503,0.03348,16
S002,L3,2025-05,789,0.03917,30
S002,L4,2025-05,684,0.03432,23
S002,L1,2025-06,864,0.04926,42
S002,L2,2025-06,1050,0.04447,46
S002,L3,2025-06,773,0.03862,29
S002,L4,2025-06,566,0.03327,18
S002,L1,2025-07,779,0.03822,29
S002,L2,2025-07,763,0.0385,29
S002,L3,2025-07,614,0.04659,28
S002,L4,2025-07,1086,0.04475,48
S002,L1,2025-08,673,0.04974,33
S002,L2,2025-08,1118,0.04144,46
S002,L3,2025-08,1099,0.03439,37
S002,L4,2025-08,1063,0.04626,49
S002,L1,2025-09,473,0.04722,22
S002,L2,2025-09,1023,0.04323,44
S002,L3,2025-09,1050,0.04742,49
S002,L4,2025-09,575,0.04188,24
S002,L1,2025-10,946,0.04245,40
S002,L2,2025-10,1146,0.04055,46
S002,L3,2025-10,650,0.03251,21
S002,L4,2025-10,567,0.03416,19
S002,L1,2025-11,873,0.03263,28
S002,L2,2025-11,788,0.04473,35
S002,L3,2025-11,676,0.03829,25
S002,L4,2025-11,1055,0.04217,44
S002,L1,2025-12,1104,0.05015,55
S002,L2,2025-12,970,0.03699,35
S002,L3,2025-12,624,0.04021,25
S002,L4,2025-12,1101,0.04711,51
S002,L1,2026-01,732,0.03658,26
S002,L2,2026-01,1186,0.03354,39
S002,L3,2026-01,1194,0.0378,45
S002,L4,2026-01,457,0.03522,16
S002,L1,2026-02,634,0.05059,32
S002,L2,2026-02,432,0.04816,20
S002,L3,2026-02,723,0.04467,32
