period,defect_rate,period_type,supplier_scope
2025-01,0.04198875,monthly,S007+S008
2025-02,0.04414875,monthly,S007+S008
2025-03,0.03602875,monthly,S007+S008
2025-04,0.03822625,monthly,S007+S008
2025-05,0.04057625,monthly,S007+S008
2025-06,0.04176875,monthly,S007+S008
2025-07,0.0453125,monthly,S007+S008
2025-08,0.04323125,monthly,S007+S008
2025-09,0.042305,monthly,S007+S008
2025-10,0.039912500000000004,monthly,S007+S008
2025-11,0.0425225,monthly,S007+S008
2025-12,0.05922375,monthly,S007+S008
2026-01,0.0581325,monthly,S007+S008
2026-02,0.0626825,monthly,S007+S008
2026-03,0.061113749999999994,monthly,S007+S008
